Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,hdop,utm_easting,utm_northing,utc,zone,letter
1697493643.0028229,1,0,80000,GPS_frame1,42.33887178166666,-71.08836229333333,31.312,4.8,327963.8607019522,4689514.017051021,220042.80,19,T
1697493643.2032387,2,0,0,GPS_frame1,42.33887064333333,-71.08836227333333,31.327,4.8,327963.8592451628,4689513.890607286,220043.00,19,T
1697493643.4082656,3,0,20000,GPS_frame1,42.33887015666666,-71.08836217333334,31.337,4.8,327963.8661561335,4689513.836364321,220043.20,19,T
1697493643.6053383,4,0,40000,GPS_frame1,42.33886959833333,-71.08836221166666,31.341,4.8,327963.8614754881,4689513.774443206,220043.40,19,T
1697493643.8034608,5,0,60000,GPS_frame1,42.33886880333333,-71.088362135,31.347,4.8,327963.8656233379,4689513.686009376,220043.60,19,T
1697493644.0036147,6,0,80000,GPS_frame1,42.33886798833334,-71.08836210333334,31.376,4.8,327963.8660094559,4689513.595445751,220043.80,19,T
1697493644.2043593,7,0,0,GPS_frame1,42.33886686000001,-71.088362135,31.366,4.8,327963.8603235368,4689513.4702169765,220044.00,19,T
1697493644.405097,8,0,20000,GPS_frame1,42.33886553833333,-71.08836214333334,31.357,4.8,327963.8560326085,4689513.323472792,220044.20,19,T
1697493644.605968,9,0,40000,GPS_frame1,42.33886458666666,-71.088362195,31.344,4.8,327963.84918085136,4689513.217901975,220044.40,19,T
1697493644.8031096,10,0,60000,GPS_frame1,42.33886416833334,-71.08836203000001,31.382,4.8,327963.8616330065,4689513.171115397,220044.60,19,T
1697493645.0034473,11,0,80000,GPS_frame1,42.338863528333334,-71.08836200333333,31.42,4.8,327963.86208447133,4689513.099994305,220044.80,19,T
1697493645.205589,12,0,0,GPS_frame1,42.33886246,-71.08836206999999,31.411,4.8,327963.85367881495,4689512.981498889,220045.00,19,T
1697493645.4103956,13,0,20000,GPS_frame1,42.33886113333333,-71.08836221833333,31.336,4.8,327963.8378407799,4689512.834482753,220045.20,19,T
1697493645.605672,14,0,40000,GPS_frame1,42.338860694999994,-71.08836223666667,31.35,4.8,327963.835135035,4689512.78584626,220045.40,19,T
1697493645.805903,15,0,60000,GPS_frame1,42.33885951833333,-71.08836224,31.339,4.8,327963.8316514592,4689512.65519311,220045.60,19,T
1697493646.0116003,16,0,80000,GPS_frame1,42.33885858833334,-71.08836231166667,31.319,4.8,327963.82321114826,4689512.552068678,220045.80,19,T
1697493646.2032652,17,0,0,GPS_frame1,42.33885757666667,-71.08836227166667,31.294,4.8,327963.82374743966,4689512.439649849,220046.00,19,T
1697493646.406817,18,0,20000,GPS_frame1,42.338857305,-71.08836219666667,31.329,4.8,327963.8291852051,4689512.409331583,220046.20,19,T
1697493646.6049993,19,0,40000,GPS_frame1,42.338856968333324,-71.08836212,31.35,4.8,327963.8345830094,4689512.371792188,220046.40,19,T
1697493646.8052526,20,0,60000,GPS_frame1,42.338855921666664,-71.08836214833333,31.327,4.8,327963.829394415,4689512.255625134,220046.60,19,T
1697493647.0073774,21,0,80000,GPS_frame1,42.338854475,-71.08836213833334,31.268,4.8,327963.82627292874,4689512.094963561,220046.80,19,T
1697493647.2035892,22,0,0,GPS_frame1,42.338853705000005,-71.08836219333332,31.23,4.8,327963.81964200165,4689512.00957219,220047.00,19,T
1697493647.4034677,23,0,20000,GPS_frame1,42.338852773333336,-71.08836213,31.202,4.8,327963.8223187114,4689511.905989544,220047.20,19,T
1697493647.6065416,24,0,40000,GPS_frame1,42.33885168166667,-71.08836207333334,31.168,4.8,327963.82400986284,4689511.784653601,220047.40,19,T
1697493647.8090591,25,0,60000,GPS_frame1,42.33885044,-71.08836204666666,31.131,4.8,327963.8228204794,4689511.646721997,220047.60,19,T
1697493648.0029929,26,0,80000,GPS_frame1,42.338850125,-71.08836201000001,31.149,4.8,327963.82498209225,4689511.611669454,220047.80,19,T
1697493648.2035174,27,0,0,GPS_frame1,42.33884913333333,-71.088361965,31.114,4.8,327963.8259848391,4689511.501461358,220048.00,19,T
1697493648.4036276,28,0,20000,GPS_frame1,42.33884822333333,-71.08836192833334,31.068,4.8,327963.8265237864,4689511.400338583,220048.20,19,T
